"New Relic Observability Platform
FedRAMP Moderate Customer Responsibility Matrix (CRM) Worksheet",,
"This CRM provides details for a Customer of what their responsibilities are for a given control, including responsibilities for optional services (applicable depending on which services the customer acquires).  The CRM contains information for what a Customer needs to implement in order to obtain and maintain their authorization/certification. The Customer responsibility outlines the remaining controls that need to be implemented by the leveraging entity for compliance. 


GUIDANCE: 
IR-2(b),Partial,Customers should review and update their incident response training content in accordance with their incident response training requirements.  This may be inheritable from a Customer’s common control program.
IR-3,Partial,Customers should test the effectiveness of their incident response capability using a use case that is related to their use of or that impacts their use of the New Relic Observability Platform.  This may be inheritable from a Customer’s common control program. 
IR-3(2),Partial,"Customers should coordinate incident response testing with other relevant plans (e.g., business continuity plans, disaster recovery plans, continuity of operations plans, contingency plans, critical infrastructure plans, etc.)."
IR-4(a),Partial,Customers should implement an incident handling capacity that meets their incident handling/management requirements. This may be inheritable from a Customer’s common control program.
IR-4(b),Partial,Customers should coordinate their incident handling activities with contingency planning activities in accordance with their incident handling/management requirements.  This may be inheritable from a Customer’s common control program.
IR-4(c),Partial,Customers should incorporate lessons learned into their incident management program and implement resulting changes accordingly.
IR-4(d),Partial,"Customers should ensure that their incident handling/management activities rigor, intensity, scope, and results are comparable and predictable enterprise wide."
IR-4(1),Partial,Customers should employ automated mechanisms that support their incident handling process.  Customers can incorporate the use of the Issues and incident management and response feature during their incident handling/management activities.
IR-5,Partial,"Customers should track and maintain incident information and documentation.  Customers can open an “incident” support case to track customer-impact incidents in the platform portal.  Customers can also subscribe to New Relic’s RSS feed to get security notification bulletins, more information at Security Bulletins."
IR-6(a),Partial,Customers should require personnel to report suspected incidents to their incident response capability in accordance with their incident reporting requirements.  
IR-6(b),Partial,Customers must report suspected or confirmed incidents observed when using the platform to New Relic by notifying their account owners and opening a support case in the New Relic Observability Platform portal or by emailing security@newrelic.com or support@newrelic.com.  Customers should also report suspected or confirmed incidents observed to their designated incident response personnel in accordance with their organization’s incident response and management requirements.
IR-6(1),Yes,
IR-6(3),Yes,
IR-7,Partial,"If a Customer suspects an incident or an confirmed security incident observed when using the platform, Customers should ensure that they provide users with an incident response support resource while handling and reporting the incident."
IR-7(1),Yes,
IR-8(a),Partial,"Customers should create a system-level IRP or update their existing organization-wide IRP to capture, at a minimum, a communication and collaboration process with New Relic during an incident to inform their workforce."
IR-8(b),Partial,Customers should distribute copies of their system-level IRP or updated organization-wide IRP to their workforce that use the New Relic Observability Platform.
IR-8(c),Partial,"Customers should update their system-level IRP or updated organization-wide IRP should there be any changes, including changes to their communication process with New Relic."
IR-8(d),Partial,"Customers should communicate updates to their system-level IRP or updated organization-wide IRP to their workforce with incident handling/response responsibilities, at a minimum."
IR-8(e),Partial,Customers should protect their system-level IRP or updated organization-wide IRP from unauthorized disclosure and modification.  Customers should also protect New Relic’s FedRAMP IRP from unauthorized disclosure and modification if their workforce downloads copies.
IR-9(a),Partial,Customers should assign a person with information spill response responsibilities to address information spill incidents.
IR-9(b),Partial,The assigned Customer responding to the information spill incident should identify the specific information involved in the incident.
IR-9(c),Partial,Customers should report suspected or known information spillage incidents related to or affecting the New Relic Observability Platform to their Incident Response Team and to New Relic using Zendesk.  It is the full responsibility of the Customer to ensure that unauthorized information is not transmitted nor stored within the New Relic Observability Platform.
IR-9(d),Partial,The assigned Customer responding to the information spill incident to take necessary measures to isolate contaminated components of the environment.
IR-9(e),Partial,The assigned Customer responding to the information spill should work with New Relic to ensure that all unauthorized information is purged from the system environment/infrastructure.
IR-9(f),Yes,
IR-9(g),Partial,The assigned Customer should complete an after action report or take additional actions as defined by their incident response/management requirements.
IR-9(2),No,Customers should provide information response/management training that includes an information spillage module.
IR-9(3),Yes,
IR-9(4),Partial,"Customers should respond to unauthorized information access in accordance with their incident response/management requirements.  In addition to reporting the information spill to New Relic, Customers should collaborate closely with New Relic to identify other potentially affected components and scope of the spill."
MA-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
MA-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
MA-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
MA-2(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-2(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-2(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-2(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-2(e),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-2(f),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(1),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(2),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(3)(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(3)(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(3)(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-3(3)(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-4(a),Yes,
MA-4(b),Yes,
MA-4(c),Yes,
MA-4(d),Yes,
MA-4(e),Yes,
MA-5(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-5(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-5(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-5(1)(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-5(1)(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MA-6,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
MP-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
MP-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
MP-2,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-3(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-3(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-4(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-4(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-5(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-5(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-5(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-5(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-6(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-6(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-7(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
MP-7(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-1(a),No,Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
PE-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
PE-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
PE-2(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-2(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-2(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-2(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(e),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(f),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-3(g),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-4,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-5,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-6(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-6(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-6(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-6(1),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-8(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-8(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-8(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-9,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-10(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-10(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-10(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-11,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-12,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-13,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-13(1),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-13(2)(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-13(2)(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-14(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-14(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-15,No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-16(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-16(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-17(a),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-17(b),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-17(c),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PE-17(d),No,"The New Relic Observability Platform is a SaaS product fully deployed on top of AWS US East/West.  New Relic fully inherits the implemented security and privacy protection mechanisms from AWS for this control requirement. Accordingly, this control is fully inheritable from AWS US East/West."
PL-1(a),No,Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
PL-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
PL-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
PL-2(a),Partial,Customers should created a system-level SSP to capture Customer-assigned control implementation details.
PL-2(b),Partial,Customers should distribute or make readily available their system-level SSP to authorized personnel. Customers should distribute or make readily available the New Relic SSP in accordance with the FedRAMP Package Request requirements.
PL-2(c),Partial,Customers should review their system-level SSP at least annually.  Customers should also review New Relic’s SSP annually for any updates and changes.
PL-2(d),Partial,Customers should update their system-level SSP as needed.
PL-2(e),Partial,Customers should protect their system-level SSP from unauthorized modification and disclosure.  Customers should protect New Relic’s SSp from unauthorized modification and disclosure in accordance with the FedRAMP Package Request requirements.
PL-4(a),Partial,Customers are responsible for ensuring that their users receive a copy of New Relic provided FedRAMP ROB.
PL-4(b),Partial,Customers should ensure that they receive a signed acknowledgement from their users.
PL-4(c),Yes,
PL-4(d),Partial,Customers must ensure that their users read and re-acknowledge the New Relic-provided FedRAMP ROB at least annually and when the rules are revised or changed to satisfy this control.
PL-4(1)(a),Yes,
PL-4(1)(b),Yes,
PL-4(1)(c),Yes,
PL-8(a),Yes,
PL-8(b),Yes,
PL-8(c),Yes,
PL-10,Partial,"Customers should refer to the New Relic provided Customer Implementation Summary workbook to select and apply the Customer assigned security and privacy controls to their implementation of the New Relic Observability Platform.  The FedRAMP control baseline is slightly different from the FISMA control baseline, and this will help ensure that Customers reflect both requirements adequately."
PL-11,Partial,"Customers should tailor Customer-assigned controls leveraging NIST 800-53B (e.g., apply scoping parameters, specify and assign Customer-defined parameters, etc.)."
PS-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
PS-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
PS-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
PS-2(a),No,Customers should assign a risk designation to all of its organization positions in accordance with their personnel security requirements. This may be inheritable from a Customer’s common control program.
PS-2(b),No,Customers should establish screening criteria in accordance with their personnel security requirements. This may be inheritable from a Customer’s common control program.
PS-2(c),No,Customers should review and update position risk designations at least every three years to comply with FedRAMP-defined requirements. This may be inheritable from a Customer’s common control program.
PS-3(a),No,Customers should screen individuals prior to granting them access to the New Relic Observability Platform.  This may be inheritable from a Customer’s common control program.
PS-3(b),No,Customers should rescreen its personnel in accordance with their personnel security requirements. This may be inheritable from a Customer’s common control program.
PS-3(3)(a),No,Customers should verify the access authorizations of personnel that will be accessing the New Relic Observability Platform in accordance with their personnel security requirements.
PS-3(3)(b),No,Customers should ensure that the persons that will be accessing the New Relic Observability platform satisfy any additional personnel screening criteria that they’ve defined. This may be inheritable from a Customer’s common control program.
PS-4(a),No,Customers should disable departing employees access to the New Relic Observability Platform.
PS-4(b),No,Customers should terminate or revoke any authenticators associated with a departing employee’s New Relic Observability Platform account.  See Introduction to user management.
PS-4(c),No,Customers should include security topics in exit interviews with employees that have had access to the New Relic Observability Platform. This may be inheritable from a Customer’s common control program.
PS-4(d),Yes,
PS-4(e),Yes,
PS-5(a),No,Customers should review and confirm ongoing operational need for current logical access authorization to the New Relic Observability Platform when individuals are reassigned or transferred to other positions within their organization.
PS-5(b),No,Customers should initiate transfer or reassignment actions within 24 hours of a formal transfer decision. This may be inheritable from a Customer’s common control program.
PS-5(c),No,Customers should modify access authorization as needed to correspond with any changes in operational need due to reassignment or transfer.  See User permissions.
PS-5(d),No,Customers should notify necessary stakeholders within 24 hours of a formal transfer decision. This may be inheritable from a Customer’s common control program.
PS-6(a),Yes,
PS-6(b),Yes,
PS-6(c),No,Customers should ensure that their system end users sign and resign at least annually and any time there is a change to the user's level of access the New Relic Observability FedRAMP Rules of Behavior.
PS-7(a),Yes,
PS-7(b),Yes,
PS-7(c),Yes,
PS-7(d),Yes,
PS-7(e),Yes,
PS-8(a),No,Customers should employ a formal sanctions process for individuals failing to comply with established information security and privacy procedures. This may be inheritable from a Customer’s common control program. This may be inheritable from a Customer’s common control program.
PS-8(b),No,Customers should notify appropriate stakeholders within 24 hours of a formal employee sanctions process being initiated. This may be inheritable from a Customer’s common control program.
PS-9,Yes,
RA-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
RA-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
RA-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
RA-2(a),No,"Customers must separately categorize the data that they intend to transmit, store, and process with the New Relic Observability Platform to ensure compatibility with the overall criticality level of the platform."
RA-2(b),No,Customers should document the results of their FIPS 199 security categorization results of their data in their Customer-level SSP.
RA-2(c),No,Customers must ensure that their assigned AO reviews and approves of the FIPS 199 security categorization results of their data.
RA-3(a),Yes,
RA-3(b),Yes,
RA-3(c),Yes,
RA-3(d),Partial,Customers should review New Relic’s FedRAMP security assessment results on at least an annual basis.
RA-3(e),Yes,
RA-3(f),Yes,
RA-3(1)(a),Yes,
RA-3(1)(b),Yes,
RA-5(a),Yes,
RA-5(b),Yes,
RA-5(c),Yes,
RA-5(d),Yes,
RA-5(e),Yes,
RA-5(f),Yes,
RA-5(2),Yes,
RA-5(3),Yes,
RA-5(5),Yes,
RA-5(11),Partial,Customers can use the system’s portal to report cases of identified or suspected vulnerabilities and report issues for public open sourced agents in Github.
RA-7,Yes,
RA-9,Yes,
SA-1(a),No,Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
SA-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
SA-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
SA-2(a),Yes,
SA-2(b),Yes,
SA-2(c),Yes,
SA-3(a),Yes,
SA-3(b),Yes,
SA-3(c),Yes,
SA-3(d),Yes,
SA-4(a),Yes,
SA-4(b),Yes,
SA-4(c),Yes,
SA-4(d),Yes,
SA-4(e),Yes,
SA-4(f),Yes,
SA-4(g),Yes,
SA-4(h),Yes,
SA-4(i),Yes,
SA-4(1),Yes,
SA-4(2),Yes,
SA-4(9),Yes,
SA-4(10),Partial,"Customers are responsible for enabling and utilizing MFA capabilities within their identity and access management infrastructure. The system has SAML SSO and SCIM provisioning features that allows Customers to use their own PIV authenticators and FICAM third-party credentials to identify and authenticate, enabling Customers to meet their identity and access management compliance needs (e.g., PIV SSO, etc.). See Get started with SAML SSO and/or SCIM.
"
SA-5(a),Yes,
SA-5(b),Yes,
SA-5(c),Yes,
SA-5(d),Yes,
SA-8,Yes,
SA-9(a),Yes,
SA-9(b),Yes,
SA-9(c),Yes,
SA-9(1)(a),Yes,
SA-9(1)(b),Yes,
SA-9(2),Yes,
SA-9(5),Yes,
SA-10(a),Yes,
SA-10(b),Yes,
